# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	2.1200000000	-1.6423857096	0.0003415559	1.0151192501	0.0046711421	0.7440096343	0.0004964164	0.1154237386	0.0001197687	8	2000	15000	4
2	2.1300000000	-1.6324749349	0.0004992292	1.0479850644	0.0072154989	0.7347921728	0.0007563171	0.1189914469	0.0001912827	8	2000	15000	4
3	2.1400000000	-1.6214024089	0.0003384881	1.0792507560	0.0041859124	0.7240878960	0.0004530240	0.1229867106	0.0001234065	8	2000	15000	4
4	2.1500000000	-1.6094526042	0.0006211418	1.1267442222	0.0057552238	0.7114887422	0.0009537482	0.1272910970	0.0002158761	8	2000	15000	4
5	2.1600000000	-1.5983430664	0.0003550834	1.1581838639	0.0063945703	0.7009123853	0.0006003179	0.1313672607	0.0001184791	8	2000	15000	4
6	2.1700000000	-1.5869000326	0.0006771889	1.1898147735	0.0057832968	0.6894298302	0.0008796681	0.1355675781	0.0002584937	8	2000	15000	4
7	2.1800000000	-1.5749499349	0.0007201378	1.2221806583	0.0061394837	0.6774857012	0.0010127880	0.1399016764	0.0002475290	8	2000	15000	4
8	2.1900000000	-1.5633609375	0.0004910316	1.2563084507	0.0047498571	0.6655676473	0.0006827629	0.1441891683	0.0001777075	8	2000	15000	4
9	2.2000000000	-1.5492891276	0.0008117372	1.2944338304	0.0083968670	0.6504309203	0.0013168504	0.1493852865	0.0002931920	8	2000	15000	4
10	2.2100000000	-1.5385582357	0.0006119727	1.3141377038	0.0054664630	0.6397935186	0.0009255069	0.1533472900	0.0002177462	8	2000	15000	4
11	2.2200000000	-1.5228274089	0.0006871227	1.3716298822	0.0084677898	0.6216023588	0.0011363124	0.1592061035	0.0002672848	8	2000	15000	4
12	2.2300000000	-1.5107831706	0.0010803091	1.3792925895	0.0093188130	0.6099167704	0.0017157913	0.1636978922	0.0003886314	8	2000	15000	4
13	2.2400000000	-1.4959922201	0.0008507691	1.4178709121	0.0056150721	0.5931364751	0.0012795027	0.1691682780	0.0003084058	8	2000	15000	4
14	2.2500000000	-1.4805906250	0.0008200130	1.4454781400	0.0047727105	0.5762868436	0.0013997710	0.1750524984	0.0003234770	8	2000	15000	4
15	2.2600000000	-1.4657784180	0.0005673547	1.4919584599	0.0045565100	0.5593889828	0.0007572999	0.1805842041	0.0002157927	8	2000	15000	4
16	2.2700000000	-1.4517528646	0.0002548630	1.5100696401	0.0038933565	0.5440008748	0.0005798874	0.1859659505	0.0001013557	8	2000	15000	4
17	2.2800000000	-1.4371921550	0.0015395029	1.5136436733	0.0113252423	0.5274652331	0.0024939872	0.1914215821	0.0005757370	8	2000	15000	4
18	2.2900000000	-1.4196248698	0.0007077092	1.5399855441	0.0084117184	0.5073046674	0.0014158689	0.1981246257	0.0002744323	8	2000	15000	4
19	2.3000000000	-1.4055346029	0.0004383662	1.5483638830	0.0074612958	0.4916494675	0.0005870962	0.2034985352	0.0001583028	8	2000	15000	4
20	2.3100000000	-1.3912376628	0.0013171014	1.5459997557	0.0064586346	0.4758199753	0.0018774293	0.2090270345	0.0005074291	8	2000	15000	4
21	2.3200000000	-1.3762008463	0.0010900946	1.5478047614	0.0038621257	0.4597461053	0.0015767121	0.2147742187	0.0004061541	8	2000	15000	4
22	2.3300000000	-1.3586611654	0.0006623513	1.5508187075	0.0066660897	0.4377795991	0.0012858555	0.2216259033	0.0002768898	8	2000	15000	4
23	2.3400000000	-1.3455670899	0.0012374215	1.5382400986	0.0047519667	0.4240095915	0.0015839837	0.2268207194	0.0004504317	8	2000	15000	4
24	2.3500000000	-1.3304166016	0.0011097428	1.5260213541	0.0018830876	0.4074491131	0.0018198198	0.2326605876	0.0004150676	8	2000	15000	4
25	2.3600000000	-1.3120688151	0.0007732337	1.5023838674	0.0040513964	0.3856512411	0.0012327373	0.2398088216	0.0002751936	8	2000	15000	4
26	2.3700000000	-1.2975836263	0.0009834232	1.4873491173	0.0026038062	0.3692074598	0.0019430354	0.2455582926	0.0003587065	8	2000	15000	4
27	2.3800000000	-1.2841567708	0.0009487326	1.4613208871	0.0027445011	0.3558507000	0.0016790704	0.2509617757	0.0003549466	8	2000	15000	4
28	2.3900000000	-1.2697406250	0.0002775011	1.4344038754	0.0044049536	0.3402155532	0.0006328357	0.2566903564	0.0001409901	8	2000	15000	4
29	2.4000000000	-1.2554845378	0.0008546844	1.4022383216	0.0051980630	0.3251899418	0.0012847564	0.2623234782	0.0002973009	8	2000	15000	4
30	2.4100000000	-1.2413303711	0.0009449391	1.3742684509	0.0042843165	0.3096938324	0.0016538421	0.2680606283	0.0003608523	8	2000	15000	4
