idx	T	rep	seed	E	C	M2	A
1	0.8500000000	1	16112698	-1.4892730764	0.8737366934	0.5525461381	0.2739219401
1	0.8500000000	2	16217427	-1.4875453533	0.8530115985	0.5493582231	0.2739261068
1	0.8500000000	3	16322156	-1.4886941826	0.8475548060	0.5537717013	0.2739256510
1	0.8500000000	4	16426885	-1.4886342621	0.8365518641	0.5506652636	0.2737217448
1	0.8500000000	5	16531614	-1.4879682130	0.8472281516	0.5540068923	0.2740585286
1	0.8500000000	6	16636343	-1.4885728045	0.8397246394	0.5526167805	0.2739496094
1	0.8500000000	7	16741072	-1.4878939194	0.8290940337	0.5489675031	0.2740703125
1	0.8500000000	8	16845801	-1.4891893017	0.8502548700	0.5527622245	0.2737606120
2	0.8600000000	1	16120617	-1.4782270252	0.8976901909	0.5415219783	0.2768911458
2	0.8600000000	2	16225346	-1.4790447677	0.8794235055	0.5449920856	0.2768273438
2	0.8600000000	3	16330075	-1.4804233012	0.8666471266	0.5453905222	0.2766508464
2	0.8600000000	4	16434804	-1.4798943040	0.8672701908	0.5455958941	0.2766592448
2	0.8600000000	5	16539533	-1.4784056942	0.9004724332	0.5418490552	0.2766898437
2	0.8600000000	6	16644262	-1.4779818691	0.8695150446	0.5419701611	0.2768296224
2	0.8600000000	7	16748991	-1.4791710368	0.9011219487	0.5428721045	0.2764696615
2	0.8600000000	8	16853720	-1.4799193249	0.8641048317	0.5447690713	0.2765718099
3	0.8700000000	1	16128536	-1.4702531022	0.8873684018	0.5360197932	0.2794170573
3	0.8700000000	2	16233265	-1.4706004146	0.8830674968	0.5350026156	0.2795101562
3	0.8700000000	3	16337994	-1.4700816041	0.9169386300	0.5339787377	0.2795909505
3	0.8700000000	4	16442723	-1.4693698775	0.9033509281	0.5345337478	0.2798718099
3	0.8700000000	5	16547452	-1.4702393403	0.8765174173	0.5376055842	0.2794487630
3	0.8700000000	6	16652181	-1.4714112749	0.8910851612	0.5402917702	0.2793265625
3	0.8700000000	7	16756910	-1.4717198972	0.8739418192	0.5403633357	0.2792134766
3	0.8700000000	8	16861639	-1.4699286996	0.9045157302	0.5364660813	0.2794065104
4	0.8800000000	1	16136455	-1.4618413545	0.9090484532	0.5276768989	0.2821738932
4	0.8800000000	2	16241184	-1.4627627310	0.8916999403	0.5313734819	0.2819901693
4	0.8800000000	3	16345913	-1.4608303814	0.9158484298	0.5277570839	0.2823427083
4	0.8800000000	4	16450642	-1.4627665862	0.8747601590	0.5326873608	0.2818486979
4	0.8800000000	5	16555371	-1.4631098077	0.8956419459	0.5325777620	0.2818845703
4	0.8800000000	6	16660100	-1.4622296592	0.9019385737	0.5306336123	0.2820861328
4	0.8800000000	7	16764829	-1.4629212549	0.9002682744	0.5304808283	0.2818636068
