# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	0.8500000000	-1.4884713891	0.0002191196	0.8471445821	0.0047141409	0.5518368408	0.0006836064	0.2739168131	0.0000437856	8	2000	15000	4
2	0.8600000000	-1.4791334154	0.0003147239	0.8807806590	0.0057888362	0.5436201090	0.0006132633	0.2766986898	0.0000505700	8	2000	15000	4
3	0.8700000000	-1.4704505263	0.0002744017	0.8920981981	0.0053036909	0.5367827082	0.0008720115	0.2794731608	0.0000696004	8	2000	15000	4
4	0.8800000000	-1.4625718416	0.0003418512	0.8971036807	0.0045274455	0.5307868649	0.0007502272	0.2819811686	0.0000759556	8	2000	15000	4
5	0.8900000000	-1.4522205721	0.0002879828	0.9248549437	0.0067527629	0.5211881213	0.0009003749	0.2850106120	0.0000353863	8	2000	15000	4
6	0.9000000000	-1.4428320089	0.0001983671	0.9547769577	0.0041381730	0.5125837880	0.0008232305	0.2878762451	0.0000485154	8	2000	15000	4
7	0.9100000000	-1.4339102975	0.0003449721	0.9751655986	0.0074831891	0.5065002190	0.0010620090	0.2906790283	0.0000733823	8	2000	15000	4
8	0.9200000000	-1.4237010011	0.0002557917	0.9833740542	0.0078720613	0.4968440788	0.0007119995	0.2937513509	0.0000536417	8	2000	15000	4
9	0.9300000000	-1.4139059373	0.0003598191	1.0163576955	0.0060956669	0.4883523475	0.0010211141	0.2968056559	0.0000513919	8	2000	15000	4
10	0.9400000000	-1.4031762004	0.0004774081	1.0421583661	0.0038036262	0.4774375718	0.0009435518	0.2999615316	0.0000867100	8	2000	15000	4
11	0.9500000000	-1.3922986951	0.0005983782	1.0724254823	0.0111274887	0.4668495742	0.0012659147	0.3032669678	0.0000949496	8	2000	15000	4
12	0.9600000000	-1.3826987699	0.0002730616	1.0829009661	0.0041491973	0.4606049966	0.0007043670	0.3063673503	0.0000722394	8	2000	15000	4
13	0.9700000000	-1.3708676541	0.0002360719	1.1177887523	0.0075018259	0.4485308862	0.0008403206	0.3098749919	0.0000607846	8	2000	15000	4
14	0.9800000000	-1.3594410305	0.0003932490	1.1611675298	0.0128499152	0.4373579025	0.0011169379	0.3132843750	0.0000753226	8	2000	15000	4
15	0.9900000000	-1.3476716076	0.0005188858	1.1829352904	0.0097334773	0.4279871414	0.0010048928	0.3168775472	0.0001189531	8	2000	15000	4
16	1.0000000000	-1.3358914883	0.0004130797	1.2265881938	0.0112749260	0.4149142977	0.0007280348	0.3203741048	0.0000964121	8	2000	15000	4
17	1.0100000000	-1.3236217733	0.0005086609	1.2528383452	0.0096623418	0.4039523622	0.0012880031	0.3242796468	0.0001162299	8	2000	15000	4
18	1.0200000000	-1.3108012849	0.0010172040	1.2687648814	0.0122919181	0.3915441717	0.0019959354	0.3280805257	0.0002494645	8	2000	15000	4
19	1.0300000000	-1.2977860777	0.0009386575	1.3450231614	0.0129904713	0.3775301981	0.0019644104	0.3319755208	0.0002122045	8	2000	15000	4
20	1.0400000000	-1.2840421116	0.0011634707	1.3427879795	0.0184451438	0.3633483092	0.0026447817	0.3361856445	0.0002574710	8	2000	15000	4
21	1.0500000000	-1.2720317993	0.0007408826	1.3739454481	0.0113191383	0.3532946296	0.0012072091	0.3399731038	0.0001723404	8	2000	15000	4
22	1.0600000000	-1.2578367572	0.0008105708	1.4008007920	0.0086463388	0.3381003827	0.0014837903	0.3442289551	0.0001954632	8	2000	15000	4
23	1.0700000000	-1.2433177260	0.0007635204	1.4365047181	0.0095649168	0.3215994011	0.0019021257	0.3487560140	0.0001610599	8	2000	15000	4
24	1.0800000000	-1.2258481658	0.0006023270	1.4596647432	0.0094960813	0.3010213959	0.0016906359	0.3539173584	0.0001478193	8	2000	15000	4
25	1.0900000000	-1.2131819265	0.0006476150	1.4501307109	0.0078933612	0.2899355396	0.0016498017	0.3579718099	0.0001687101	8	2000	15000	4
26	1.1000000000	-1.1995260799	0.0008530558	1.4663154731	0.0099138487	0.2763706298	0.0022747727	0.3622706950	0.0002112753	8	2000	15000	4
27	1.1100000000	-1.1846421819	0.0009070048	1.4673245176	0.0093690240	0.2635431015	0.0019872118	0.3669959961	0.0002328553	8	2000	15000	4
28	1.1200000000	-1.1702896554	0.0008007258	1.4680566256	0.0109226747	0.2486991023	0.0017413758	0.3715823324	0.0001911417	8	2000	15000	4
29	1.1300000000	-1.1546517141	0.0009177584	1.4669059039	0.0085786915	0.2334789993	0.0018265395	0.3764489421	0.0001861512	8	2000	15000	4
30	1.1400000000	-1.1397331148	0.0005807197	1.4470091250	0.0084866762	0.2177696519	0.0012018788	0.3812865072	0.0001935416	8	2000	15000	4
