# T	E_L16	Eerr_L16	C_L16	Cerr_L16	M2_L16	M2err_L16	A_L16	Aerr_L16	E_L24	Eerr_L24	C_L24	Cerr_L24	M2_L24	M2err_L24	A_L24	Aerr_L24	E_L32	Eerr_L32	C_L32	Cerr_L32	M2_L32	M2err_L32	A_L32	Aerr_L32
2.1200000000	-1.6423857096	0.0003415559	1.0151192501	0.0046711421	0.7440096343	0.0004964164	0.1154237386	0.0001197687	-1.6417241609	0.0003025106	1.0372732403	0.0029670498	0.7377626002	0.0004528932	0.1156499421	0.0001008771	-1.6419391276	0.0002502675	1.0280588909	0.0084848880	0.7364940571	0.0005040564	0.1155839132	0.0000919530
2.1300000000	-1.6324749349	0.0004992292	1.0479850644	0.0072154989	0.7347921728	0.0007563171	0.1189914469	0.0001912827	-1.6318273872	0.0003385290	1.0564940964	0.0046744018	0.7283495586	0.0005929896	0.1192163122	0.0001273708	-1.6317561442	0.0002900785	1.0593624891	0.0041086204	0.7257695562	0.0004358533	0.1192439697	0.0001124624
2.1400000000	-1.6214024089	0.0003384881	1.0792507560	0.0041859124	0.7240878960	0.0004530240	0.1229867106	0.0001234065	-1.6213481192	0.0002539454	1.1025527734	0.0037330304	0.7169154661	0.0006043501	0.1230043113	0.0000951808	-1.6209255452	0.0001958488	1.1061415096	0.0065551262	0.7143512556	0.0005603795	0.1231426616	0.0000747091
2.1500000000	-1.6094526042	0.0006211418	1.1267442222	0.0057552238	0.7114887422	0.0009537482	0.1272910970	0.0002158761	-1.6100141493	0.0003453704	1.1397370882	0.0086074811	0.7054179322	0.0006373337	0.1270945095	0.0001181703	-1.6099255615	0.0003427566	1.1380848977	0.0068907959	0.7026052290	0.0006360409	0.1271309672	0.0001176489
2.1600000000	-1.5983430664	0.0003550834	1.1581838639	0.0063945703	0.7009123853	0.0006003179	0.1313672607	0.0001184791	-1.5982031684	0.0004200922	1.1765155884	0.0087248303	0.6925090787	0.0007476894	0.1313947518	0.0001409763	-1.5980750325	0.0004791341	1.1847032143	0.0106917485	0.6893350572	0.0010366408	0.1314436239	0.0001706250
2.1700000000	-1.5869000326	0.0006771889	1.1898147735	0.0057832968	0.6894298302	0.0008796681	0.1355675781	0.0002584937	-1.5862635996	0.0002677271	1.2164194106	0.0082999024	0.6791997293	0.0006431900	0.1358018048	0.0000932220	-1.5861896973	0.0003032372	1.2230256858	0.0112755418	0.6756532565	0.0007699984	0.1357778626	0.0001154946
2.1800000000	-1.5749499349	0.0007201378	1.2221806583	0.0061394837	0.6774857012	0.0010127880	0.1399016764	0.0002475290	-1.5741942419	0.0003890138	1.2670055456	0.0059162597	0.6657922698	0.0006881846	0.1401607313	0.0001400593	-1.5728227214	0.0003127688	1.2946666067	0.0059025518	0.6584940358	0.0008378240	0.1406667257	0.0001177193
2.1900000000	-1.5633609375	0.0004910316	1.2563084507	0.0047498571	0.6655676473	0.0006827629	0.1441891683	0.0001777075	-1.5615858941	0.0004650708	1.3038950177	0.0070723213	0.6522010936	0.0009625361	0.1447921079	0.0001602129	-1.5605243408	0.0004207455	1.3298604471	0.0129972274	0.6442802618	0.0010036885	0.1452071289	0.0001505867
2.2000000000	-1.5492891276	0.0008117372	1.2944338304	0.0083968670	0.6504309203	0.0013168504	0.1493852865	0.0002931920	-1.5466347801	0.0006895002	1.3976857769	0.0091574184	0.6317486250	0.0012241179	0.1502798213	0.0002392034	-1.5460554606	0.0003638234	1.4226380274	0.0105010348	0.6239909103	0.0008932744	0.1505200073	0.0001297421
2.2100000000	-1.5385582357	0.0006119727	1.3141377038	0.0054664630	0.6397935186	0.0009255069	0.1533472900	0.0002177462	-1.5330001592	0.0009312790	1.4241159413	0.0154073925	0.6156054743	0.0020211595	0.1553429073	0.0003514425	-1.5324029541	0.0001930710	1.4423512268	0.0062781877	0.6073193608	0.0004793899	0.1555780741	0.0000686092
2.2200000000	-1.5228274089	0.0006871227	1.3716298822	0.0084677898	0.6216023588	0.0011363124	0.1592061035	0.0002672848	-1.5188726707	0.0006172575	1.4823150839	0.0095798673	0.5979552243	0.0012863705	0.1605768048	0.0002313119	-1.5168042806	0.0006999750	1.5356464033	0.0160178861	0.5848735777	0.0017968839	0.1613583374	0.0002480671
2.2300000000	-1.5107831706	0.0010803091	1.3792925895	0.0093188130	0.6099167704	0.0017157913	0.1636978922	0.0003886314	-1.5042398582	0.0008222298	1.5282975810	0.0067708638	0.5799584362	0.0012826400	0.1660423032	0.0002950174	-1.5013193848	0.0007215267	1.5962087838	0.0127285014	0.5637355230	0.0020958689	0.1671031291	0.0002573519
2.2400000000	-1.4959922201	0.0008507691	1.4178709121	0.0056150721	0.5931364751	0.0012795027	0.1691682780	0.0003084058	-1.4880453848	0.0006110814	1.5721650876	0.0100864510	0.5580468563	0.0013497345	0.1720605830	0.0002263804	-1.4852644613	0.0006005509	1.6713177360	0.0132357609	0.5390000528	0.0017332977	0.1731036031	0.0002070099
2.2500000000	-1.4805906250	0.0008200130	1.4454781400	0.0047727105	0.5762868436	0.0013997710	0.1750524984	0.0003234770	-1.4731992911	0.0007629404	1.6176913451	0.0101168687	0.5381550969	0.0015623004	0.1776795356	0.0002574234	-1.4672463460	0.0003571383	1.7491764610	0.0104924438	0.5110285091	0.0011087163	0.1798182902	0.0001285485
2.2600000000	-1.4657784180	0.0005673547	1.4919584599	0.0045565100	0.5593889828	0.0007572999	0.1805842041	0.0002157927	-1.4561372106	0.0004603236	1.6591223816	0.0088450300	0.5158971887	0.0010280417	0.1840555772	0.0001786146	-1.4497233643	0.0006923706	1.8039338210	0.0180199268	0.4839605758	0.0018910727	0.1864262919	0.0002526046
2.2700000000	-1.4517528646	0.0002548630	1.5100696401	0.0038933565	0.5440008748	0.0005798874	0.1859659505	0.0001013557	-1.4375130498	0.0008001080	1.7111491073	0.0083399695	0.4884553006	0.0018610356	0.1911233615	0.0002936463	-1.4327560140	0.0006963022	1.8337707906	0.0134600703	0.4575108354	0.0017531013	0.1927971782	0.0002603438
2.2800000000	-1.4371921550	0.0015395029	1.5136436733	0.0113252423	0.5274652331	0.0024939872	0.1914215821	0.0005757370	-1.4215837529	0.0006306868	1.7454117932	0.0104157999	0.4673723189	0.0013443635	0.1971380208	0.0002310732	-1.4140965902	0.0013116155	1.8749627330	0.0122506589	0.4280909567	0.0038467163	0.1998827413	0.0004898589
2.2900000000	-1.4196248698	0.0007077092	1.5399855441	0.0084117184	0.5073046674	0.0014158689	0.1981246257	0.0002744323	-1.4043032263	0.0008269219	1.7481206184	0.0066340872	0.4446398288	0.0019068168	0.2036827293	0.0003076541	-1.3958193848	0.0015329595	1.9036238179	0.0161069341	0.3994656593	0.0041307270	0.2067937073	0.0005573917
2.3000000000	-1.4055346029	0.0004383662	1.5483638830	0.0074612958	0.4916494675	0.0005870962	0.2034985352	0.0001583028	-1.3852741464	0.0006010573	1.7659106700	0.0108896934	0.4151025066	0.0012892501	0.2109499530	0.0002253255	-1.3751854980	0.0010159659	1.8993650852	0.0074425447	0.3636305005	0.0028318670	0.2147046387	0.0003823818
2.3100000000	-1.3912376628	0.0013171014	1.5459997557	0.0064586346	0.4758199753	0.0018774293	0.2090270345	0.0005074291	-1.3695531250	0.0004027583	1.7438239965	0.0068954340	0.3961703035	0.0009207982	0.2169652235	0.0001435623	-1.3566704834	0.0010747739	1.8815960843	0.0100676749	0.3351966010	0.0028501311	0.2217423238	0.0004037251
2.3200000000	-1.3762008463	0.0010900946	1.5478047614	0.0038621257	0.4597461053	0.0015767121	0.2147742187	0.0004061541	-1.3530690393	0.0007507582	1.7283762022	0.0040146177	0.3730752275	0.0018098236	0.2233185872	0.0003008923	-1.3387270996	0.0003084696	1.8309221672	0.0085759312	0.3072066514	0.0006615481	0.2286552327	0.0001239192
2.3300000000	-1.3586611654	0.0006623513	1.5508187075	0.0066660897	0.4377795991	0.0012858555	0.2216259033	0.0002768898	-1.3344347656	0.0009755015	1.7179641697	0.0067137623	0.3464034833	0.0022562773	0.2305397533	0.0003624588	-1.3201208008	0.0006661496	1.7835179229	0.0081783310	0.2776632782	0.0021133423	0.2358660584	0.0002453253
2.3400000000	-1.3455670899	0.0012374215	1.5382400986	0.0047519667	0.4240095915	0.0015839837	0.2268207194	0.0004504317	-1.3186306858	0.0009586998	1.6784436654	0.0056097835	0.3266383006	0.0021567739	0.2367289062	0.0003715561	-1.3021008056	0.0006963867	1.7191357894	0.0087585230	0.2512138121	0.0017747553	0.2428104045	0.0002528659
2.3500000000	-1.3304166016	0.0011097428	1.5260213541	0.0018830876	0.4074491131	0.0018198198	0.2326605876	0.0004150676	-1.3002286892	0.0010020600	1.6485690467	0.0053503894	0.3007478614	0.0020834987	0.2438779623	0.0003798758	-1.2857300130	0.0008605505	1.6478981948	0.0089321794	0.2264529849	0.0023081259	0.2492562398	0.0003213217
2.3600000000	-1.3120688151	0.0007732337	1.5023838674	0.0040513964	0.3856512411	0.0012327373	0.2398088216	0.0002751936	-1.2849374132	0.0008179342	1.5854834809	0.0082202250	0.2805256651	0.0021103555	0.2499122251	0.0003142066	-1.2675107259	0.0006821524	1.5521910460	0.0080451030	0.1992401453	0.0021606556	0.2564049906	0.0002492597
2.3700000000	-1.2975836263	0.0009834232	1.4873491173	0.0026038062	0.3692074598	0.0019430354	0.2455582926	0.0003587065	-1.2699218171	0.0005588732	1.5455201731	0.0088798013	0.2627811513	0.0009714700	0.2558773438	0.0002137476	-1.2541583496	0.0005606984	1.4904317740	0.0073874405	0.1844596742	0.0016448133	0.2617682963	0.0002097248
2.3800000000	-1.2841567708	0.0009487326	1.4613208871	0.0027445011	0.3558507000	0.0016790704	0.2509617757	0.0003549466	-1.2536563223	0.0008033204	1.4871841647	0.0080244062	0.2401184524	0.0015846314	0.2623368671	0.0003125894	-1.2387301514	0.0007069649	1.4151195985	0.0096593852	0.1642937656	0.0019645036	0.2679017842	0.0002596467
2.3900000000	-1.2697406250	0.0002775011	1.4344038754	0.0044049536	0.3402155532	0.0006328357	0.2566903564	0.0001409901	-1.2383104745	0.0007423705	1.4242462447	0.0036316746	0.2219206700	0.0016073184	0.2684159107	0.0002686616	-1.2255946207	0.0003339268	1.3493681172	0.0091310570	0.1508349348	0.0011801703	0.2731900615	0.0001389255
2.4000000000	-1.2554845378	0.0008546844	1.4022383216	0.0051980630	0.3251899418	0.0012847564	0.2623234782	0.0002973009	-1.2244833333	0.0010304135	1.3687993358	0.0102705276	0.2067250454	0.0022855966	0.2740397461	0.0004099330	-1.2132595866	0.0002081409	1.2929216723	0.0075716235	0.1391674926	0.0005901755	0.2782700561	0.0000807269
2.4100000000	-1.2413303711	0.0009449391	1.3742684509	0.0042843165	0.3096938324	0.0016538421	0.2680606283	0.0003608523	-1.2109050203	0.0004980216	1.3144266547	0.0059024306	0.1911833322	0.0011135389	0.2795576497	0.0001816836	-1.2006434407	0.0004895878	1.2307328426	0.0061609620	0.1256607395	0.0011992068	0.2834118530	0.0001797119
