# T	E_L16	Eerr_L16	C_L16	Cerr_L16	M2_L16	M2err_L16	A_L16	Aerr_L16	E_L24	Eerr_L24	C_L24	Cerr_L24	M2_L24	M2err_L24	A_L24	Aerr_L24	E_L32	Eerr_L32	C_L32	Cerr_L32	M2_L32	M2err_L32	A_L32	Aerr_L32
0.8500000000	-1.4884713891	0.0002191196	0.8471445821	0.0047141409	0.5518368408	0.0006836064	0.2739168131	0.0000437856	-1.4862857709	0.0002801509	0.8694315178	0.0031145867	0.5068072893	0.0011322615	0.2742882306	0.0000711041	-1.4858287667	0.0001263784	0.8762723008	0.0037338677	0.4793436567	0.0006460508	0.2743120097	0.0000476534
0.8600000000	-1.4791334154	0.0003147239	0.8807806590	0.0057888362	0.5436201090	0.0006132633	0.2766986898	0.0000505700	-1.4775824530	0.0002643513	0.8818620214	0.0056885708	0.4993744360	0.0012983711	0.2769261430	0.0000481944	-1.4769314337	0.0001453971	0.8840258953	0.0030665085	0.4689135370	0.0012671122	0.2770617513	0.0000301325
0.8700000000	-1.4704505263	0.0002744017	0.8920981981	0.0053036909	0.5367827082	0.0008720115	0.2794731608	0.0000696004	-1.4687572146	0.0001907649	0.9002895236	0.0028219024	0.4932682955	0.0006541662	0.2796799479	0.0000464159	-1.4680297385	0.0002042642	0.9104326749	0.0031488031	0.4632954143	0.0016344237	0.2797945618	0.0000383923
0.8800000000	-1.4625718416	0.0003418512	0.8971036807	0.0045274455	0.5307868649	0.0007502272	0.2819811686	0.0000759556	-1.4593828512	0.0002208719	0.9275076687	0.0048519247	0.4818527352	0.0008675735	0.2825366862	0.0000501162	-1.4587094397	0.0001303111	0.9369278609	0.0041160689	0.4542599972	0.0007386689	0.2826114075	0.0000368452
0.8900000000	-1.4522205721	0.0002879828	0.9248549437	0.0067527629	0.5211881213	0.0009003749	0.2850106120	0.0000353863	-1.4506687825	0.0001579009	0.9482799790	0.0063553777	0.4758656837	0.0006383985	0.2853010959	0.0000428646	-1.4496803452	0.0001182754	0.9505270012	0.0054116532	0.4468653800	0.0008861427	0.2854109253	0.0000331377
0.9000000000	-1.4428320089	0.0001983671	0.9547769577	0.0041381730	0.5125837880	0.0008232305	0.2878762451	0.0000485154	-1.4409792479	0.0001746449	0.9599482598	0.0069870255	0.4666712308	0.0008140197	0.2882708225	0.0000387660	-1.4394782172	0.0002620538	0.9732601657	0.0051992389	0.4335343728	0.0014964763	0.2884669780	0.0000618703
0.9100000000	-1.4339102975	0.0003449721	0.9751655986	0.0074831891	0.5065002190	0.0010620090	0.2906790283	0.0000733823	-1.4313399492	0.0002128126	0.9872986702	0.0086069103	0.4585046788	0.0009139536	0.2911728660	0.0000415890	-1.4298573976	0.0002136222	1.0059015727	0.0069761765	0.4254635204	0.0010065186	0.2914159668	0.0000476687
0.9200000000	-1.4237010011	0.0002557917	0.9833740542	0.0078720613	0.4968440788	0.0007119995	0.2937513509	0.0000536417	-1.4210306087	0.0004341582	1.0225288406	0.0073408012	0.4477683880	0.0017369341	0.2942758102	0.0000777848	-1.4199433701	0.0002517729	1.0121886128	0.0043530847	0.4142176447	0.0013397589	0.2943979106	0.0000427318
0.9300000000	-1.4139059373	0.0003598191	1.0163576955	0.0060956669	0.4883523475	0.0010211141	0.2968056559	0.0000513919	-1.4113151172	0.0002082083	1.0416714442	0.0064349312	0.4388853079	0.0008924349	0.2972735424	0.0000482201	-1.4095658089	0.0001355573	1.0480978577	0.0071095821	0.4051374615	0.0009283097	0.2975797628	0.0000384618
0.9400000000	-1.4031762004	0.0004774081	1.0421583661	0.0038036262	0.4774375718	0.0009435518	0.2999615316	0.0000867100	-1.3999078723	0.0004986135	1.0772359917	0.0087617033	0.4248263054	0.0016537861	0.3005343822	0.0001001504	-1.3986319352	0.0003894126	1.0859664310	0.0097881373	0.3922543089	0.0018356589	0.3008151082	0.0000796247
0.9500000000	-1.3922986951	0.0005983782	1.0724254823	0.0111274887	0.4668495742	0.0012659147	0.3032669678	0.0000949496	-1.3890275893	0.0004009025	1.1005990248	0.0080347957	0.4124694587	0.0013039950	0.3038926505	0.0000961956	-1.3881343701	0.0001959165	1.1099191022	0.0083409207	0.3815619447	0.0016026611	0.3040672241	0.0000462812
0.9600000000	-1.3826987699	0.0002730616	1.0829009661	0.0041491973	0.4606049966	0.0007043670	0.3063673503	0.0000722394	-1.3780271557	0.0002713463	1.1363147766	0.0056785458	0.4029246449	0.0009356378	0.3072199219	0.0000566873	-1.3759633306	0.0003087660	1.1634661380	0.0103567999	0.3658455631	0.0018993623	0.3076417460	0.0000589579
0.9700000000	-1.3708676541	0.0002360719	1.1177887523	0.0075018259	0.4485308862	0.0008403206	0.3098749919	0.0000607846	-1.3663051533	0.0003976828	1.1693894820	0.0088665163	0.3916819804	0.0016228419	0.3107230903	0.0000683618	-1.3640500295	0.0001127178	1.2110337874	0.0094222262	0.3501119615	0.0012659708	0.3111699483	0.0000158533
0.9800000000	-1.3594410305	0.0003932490	1.1611675298	0.0128499152	0.4373579025	0.0011169379	0.3132843750	0.0000753226	-1.3535607270	0.0006666941	1.2275079970	0.0126679195	0.3734072045	0.0025736967	0.3144612341	0.0001507891	-1.3514412113	0.0003067903	1.2476188692	0.0103865838	0.3336543046	0.0022114865	0.3148822123	0.0000575776
0.9900000000	-1.3476716076	0.0005188858	1.1829352904	0.0097334773	0.4279871414	0.0010048928	0.3168775472	0.0001189531	-1.3421908630	0.0005071704	1.2372108591	0.0107816587	0.3623862958	0.0019500750	0.3179145978	0.0001135148	-1.3397550437	0.0003291612	1.2822172672	0.0071351075	0.3205495507	0.0018517099	0.3184502808	0.0000784795
1.0000000000	-1.3358914883	0.0004130797	1.2265881938	0.0112749260	0.4149142977	0.0007280348	0.3203741048	0.0000964121	-1.3298046801	0.0006544162	1.2885867257	0.0118408475	0.3493795656	0.0024202652	0.3216876519	0.0001447428	-1.3266590882	0.0005013732	1.3220144096	0.0115337904	0.3056897728	0.0028707554	0.3223133138	0.0001061971
1.0100000000	-1.3236217733	0.0005086609	1.2528383452	0.0096623418	0.4039523622	0.0012880031	0.3242796468	0.0001162299	-1.3166635490	0.0002731869	1.3269073763	0.0101406968	0.3343397569	0.0010314216	0.3255947989	0.0000779772	-1.3123596667	0.0004490032	1.3824641224	0.0187831809	0.2824343946	0.0024346983	0.3265013347	0.0000872901
1.0200000000	-1.3108012849	0.0010172040	1.2687648814	0.0122919181	0.3915441717	0.0019959354	0.3280805257	0.0002494645	-1.3022223042	0.0004771502	1.3666866157	0.0111282220	0.3148991290	0.0017811322	0.3298794633	0.0001105712	-1.2992525390	0.0005345724	1.4181119192	0.0146091644	0.2656618177	0.0028761891	0.3304818461	0.0001064315
1.0300000000	-1.2977860777	0.0009386575	1.3450231614	0.0129904713	0.3775301981	0.0019644104	0.3319755208	0.0002122045	-1.2887099376	0.0008550704	1.4171002020	0.0132118043	0.3009143929	0.0031297143	0.3339600911	0.0002146184	-1.2858128991	0.0005381826	1.4353577290	0.0100760374	0.2536199090	0.0026487827	0.3345515544	0.0001041437
1.0400000000	-1.2840421116	0.0011634707	1.3427879795	0.0184451438	0.3633483092	0.0026447817	0.3361856445	0.0002574710	-1.2741738906	0.0010931588	1.4511093552	0.0167532292	0.2819615571	0.0036807945	0.3383401295	0.0002484791	-1.2689388775	0.0007153332	1.5001633093	0.0125643340	0.2229169373	0.0032868767	0.3394056010	0.0001674161
1.0500000000	-1.2720317993	0.0007408826	1.3739454481	0.0113191383	0.3532946296	0.0012072091	0.3399731038	0.0001723404	-1.2603443513	0.0005918933	1.4697932494	0.0099459738	0.2663063250	0.0020487537	0.3425623372	0.0001312406	-1.2533130087	0.0006834238	1.5232491752	0.0195357468	0.1984672166	0.0031627912	0.3440650289	0.0001565269
1.0600000000	-1.2578367572	0.0008105708	1.4008007920	0.0086463388	0.3381003827	0.0014837903	0.3442289551	0.0001954632	-1.2450456976	0.0007417892	1.4944189340	0.0153928901	0.2472298524	0.0029219555	0.3471033890	0.0001666355	-1.2390563263	0.0006735067	1.5134356713	0.0096264564	0.1829879528	0.0030571133	0.3484447591	0.0001491541
1.0700000000	-1.2433177260	0.0007635204	1.4365047181	0.0095649168	0.3215994011	0.0019021257	0.3487560140	0.0001610599	-1.2291195100	0.0004473038	1.5002841308	0.0145824032	0.2245234711	0.0019746869	0.3518486111	0.0000833560	-1.2235848854	0.0007535098	1.4986123384	0.0059326115	0.1637154213	0.0037463099	0.3531084127	0.0001802281
1.0800000000	-1.2258481658	0.0006023270	1.4596647432	0.0094960813	0.3010213959	0.0016906359	0.3539173584	0.0001478193	-1.2150490653	0.0007843617	1.5118765860	0.0112267104	0.2108843513	0.0021328419	0.3562965603	0.0001812552	-1.2086951966	0.0004888381	1.4941980683	0.0083219212	0.1473997831	0.0025119992	0.3577204671	0.0001151799
1.0900000000	-1.2131819265	0.0006476150	1.4501307109	0.0078933612	0.2899355396	0.0016498017	0.3579718099	0.0001687101	-1.2002872063	0.0005340793	1.5117431874	0.0095057969	0.1955503945	0.0017950853	0.3609441479	0.0001209674	-1.1942669872	0.0006971104	1.4649770384	0.0106965637	0.1328883044	0.0025565200	0.3623118754	0.0001491615
